iso_code,continent,location,date,human_development_index,median_age,excess_mortality_cumulative_per_million,desc_mort
URY,South America,Uruguay,2021-10-31,0.817,35.6,744.185619450744,mortality a little bit higher
UZB,Asia,Uzbekistan,2021-10-31,0.72,28.2,1145.23423886275,mortality a little bit higher
VUT,Oceania,Vanuatu,2021-10-31,0.609,23.1,,nd
VAT,Europe,Vatican,2021-10-31,,,,nd
VEN,South America,Venezuela,2021-10-31,0.711,29.0,,nd
VNM,Asia,Vietnam,2021-10-31,0.704,32.6,,nd
WLF,Oceania,Wallis and Futuna,2021-10-31,,,,nd
OWID_WRL,,World,2021-10-31,0.737,30.9,,nd
YEM,Asia,Yemen,2021-10-31,0.47,20.3,,nd
ZMB,Africa,Zambia,2021-10-31,0.584,17.7,,nd
ZWE,Africa,Zimbabwe,2021-10-31,0.571,19.6,,nd
